title,tconst
What Ever Happened to Baby Jane? (1962),tt0056687
Aces: Iron Eagle III (1992),tt0103617
"Loss of Sexual Innocence, The (1999)",tt0126859
Marty (1955),tt0048356
Country (1984),tt0087091
Places in the Heart (1984),tt0087921
Frenzy (1972),tt0068611
Swiss Family Robinson (1960),tt0054357
"Hitch-Hiker, The (1953)",tt0045877
"Man Who Knew Too Much, The (1956)",tt0049470
"Women, The (1939)",tt0032143
Midnight Express (1978),tt0077928
Dead Calm (1989),tt0097162
"Boys from Brazil, The (1978)",tt0077269
Lost Highway (1997),tt0116922
Spellbound (1945),tt0038109
Runaway Train (1985),tt0089941
High Plains Drifter (1972),
East of Eden (1955),tt0048028
Near Dark (1987),tt0093605
Hairspray (1988),tt0095270
Inferno (1980),tt0080923
"Paper Chase, The (1973)",tt0070509
Days of Heaven (1978),tt0077405
Fright Night (1985),tt0089175
Anchors Aweigh (1945),tt0037514
"Odessa File, The (1974)",tt0071935
Carnal Knowledge (1971),tt0066892
"Falcon and the Snowman, The (1984)",
South Pacific (1958),tt0052225
"Howling, The (1980)",
Sleepers (1996),tt0117665
For a Few Dollars More (1965),
"Kentucky Fried Movie, The (1977)",tt0076257
"Toxic Avenger, The (1985)",
He Walked by Night (1948),tt0040427
Dial M for Murder (1954),tt0046912
"Name of the Rose, The (1986)",
My Life as a Dog (Mitt liv som hund) (1985),
Steel Magnolias (1989),tt0098384
"Right Stuff, The (1983)",tt0086197
Bride of the Monster (1956),
Mildred Pierce (1945),tt0037913
Cronos (1992),
Of Mice and Men (1992),tt0105046
"Ipcress File, The (1965)",tt0059319
City of Angels (1998),tt0120632
Who's Harry Crumb? (1989),tt0098645
Matilda (1996),tt0117008
Can't Hardly Wait (1998),tt0127723
Soapdish (1991),tt0102951
Whipped (2000),tt0174336
Funny Farm (1988),tt0095188
Stepmom (1998),tt0120686
Police Academy 2: Their First Assignment (1985),tt0089822
Police Academy 3: Back in Training (1986),tt0091777
Police Academy 5: Assignment: Miami Beach (1988),tt0095882
Police Academy 6: City Under Siege (1989),tt0098105
Crocodile Dundee II (1988),tt0092493
8 1/2 (1963),
"Autumn Tale, An (Conte d'automne) (1998)",
Spice World (1997),tt0120185
"Searchers, The (1956)",tt0049730
Beyond Rangoon (1995),tt0112495
Shane (1953),tt0046303
Walking and Talking (1996),tt0118113
Diva (1981),tt0082269
Return to Me (2000),tt0122459
"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)",
Walkabout (1971),tt0067959
Kaspar Hauser (1993),tt0110246
Popeye (1980),tt0081353
Jules and Jim (Jules et Jim) (1961),
Hud (1963),tt0057163
Seven Beauties (Pasqualino Settebellezze) (1976),
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),
Jonah Who Will Be 25 in the Year 2000 (1976),
Guys and Dolls (1955),tt0048140
"Man for All Seasons, A (1966)",tt0060665
"Next Stop, Wonderland (1998)",
Limbo (1999),tt0164085
Bossa Nova (1999),
Klute (1971),tt0067309
"Commitments, The (1991)",tt0101605
Living Out Loud (1998),tt0120722
Holiday Inn (1942),tt0034862
Celestial Clockwork (1994),
Year of Living Dangerously (1982),
American Gigolo (1980),tt0080365
Top Hat (1935),tt0027125
American Pop (1981),tt0082009
Giant (1956),tt0049261
Kagemusha (1980),tt0080979
"39 Steps, The (1935)",tt0026029
Mifune (Mifunes sidste sang) (1999),
Bananas (1971),tt0066808
Home Fries (1998),tt0119304
Saving Grace (2000),tt0195234
Victor/Victoria (1982),tt0084865
"Man and a Woman, A (Un Homme et une Femme) (1966)",
Chungking Express (1994),
"Ruling Class, The (1972)",tt0069198
"Winslow Boy, The (1998)",
"Color of Money, The (1986)",tt0090863
"Tao of Steve, The (2000)",tt0234853
Cinema Paradiso (1988),
Blowup (1966),
"Big One, The (1997)",tt0124295
Exotica (1994),tt0109759
Johnny Mnemonic (1995),tt0113481
Love & Human Remains (1993),tt0107447
"Slums of Beverly Hills, The (1998)",
Iron Eagle (1986),tt0091278
Clockwatchers (1997),tt0118866
Lucas (1986),tt0091445
Men Don't Leave (1990),tt0100134
Angel Heart (1987),tt0092563
Take the Money and Run (1969),tt0065063
Mimic (1997),tt0119675
"Siege, The (1998)",tt0133952
Tin Men (1987),tt0094155
Better Than Chocolate (1999),tt0168987
"Perfect World, A (1993)",tt0107808
U2: Rattle and Hum (1988),tt0096328
"Peacemaker, The (1997)",tt0119874
Fear of a Black Hat (1993),tt0106880
Smilla's Sense of Snow (1997),tt0120152
When We Were Kings (1996),tt0118147
Predator 2 (1990),tt0100403
Stalag 17 (1953),tt0046359
Red Sorghum (Hong Gao Liang) (1987),
"Corruptor, The (1999)",tt0142192
Godzilla 2000 (Gojira ni-sen mireniamu) (1999),
Friday the 13th: The Final Chapter (1984),tt0087298
"Mirror Has Two Faces, The (1996)",tt0117057
Mrs. Winterbourne (1996),tt0117104
Buena Vista Social Club (1999),tt0186508
Balto (1995),tt0112453
'Til There Was You (1997),tt0118523
Six Days Seven Nights (1998),tt0120828
How to Make an American Quilt (1995),tt0113347
Kiss the Girls (1997),tt0119468
Mary Reilly (1996),tt0117002
Malice (1993),tt0107497
Detroit Rock City (1999),tt0165710
Stuart Little (1999),tt0164912
Mafia! (1998),
Force 10 from Navarone (1978),tt0077572
Pork Chop Hill (1959),tt0053183
"Kid in King Arthur's Court, A (1995)",tt0113538
Iron Eagle II (1988),tt0095382
Allan Quartermain and the Lost City of Gold (1987),
Flying Tigers (1942),tt0034742
"Fighting Seabees, The (1944)",tt0036824
Mighty Joe Young (1949),tt0041650
For Whom the Bell Tolls (1943),tt0035896
"Farewell to Arms, A (1932)",tt0022879
"Towering Inferno, The (1974)",tt0072308
Captain Horatio Hornblower (1951),
Beyond the Poseidon Adventure (1979),tt0078856
"Bear, The (1988)",
"Life Less Ordinary, A (1997)",tt0119535
"Deep End of the Ocean, The (1999)",tt0120646
Runaway (1984),tt0088024
Plan 9 from Outer Space (1958),
Breakdown (1997),tt0118771
U-571 (2000),tt0141926
Free Enterprise (1998),tt0141105
Cocoon: The Return (1988),tt0094890
Timecop (1994),tt0111438
Freejack (1992),tt0104299
"Island of Dr. Moreau, The (1996)",tt0116654
Sinbad and the Eye of the Tiger (1977),tt0076716
Lawnmower Man 2: Beyond Cyberspace (1996),tt0116839
Communion (1989),tt0097100
Airport (1970),tt0065377
"Fly II, The (1989)",tt0097368
Event Horizon (1997),tt0119081
"Black Hole, The (1979)",tt0078869
Rocketship X-M (1950),tt0042897
Robocop 2 (1990),
"They Shoot Horses, Don't They? (1969)",tt0065088
Something Wicked This Way Comes (1983),tt0086336
"Slipper and the Rose, The (1976)",
Midnight Cowboy (1969),tt0064665
"Adventures of Milo and Otis, The (1986)",
Halloween II (1981),tt0082495
Halloween III: Season of the Witch (1983),
Halloween 4: The Return of Michael Myers (1988),tt0095271
Halloween 5: The Revenge of Michael Myers (1989),tt0097474
Halloween: The Curse of Michael Myers (1995),tt0113253
Muppet Treasure Island (1996),tt0117110
Agnes of God (1985),tt0088683
"Texas Chainsaw Massacre 2, The (1986)",tt0092076
Leatherface: Texas Chainsaw Massacre III (1990),tt0099994
"Return of the Texas Chainsaw Massacre, The (1994)",tt0110978
"Golden Voyage of Sinbad, The (1974)",
Halloween: H20 (1998),
Dead Men Don't Wear Plaid (1982),tt0083798
"Object of My Affection, The (1998)",tt0120772
They Might Be Giants (1971),tt0067848
Up Close and Personal (1996),
Boys on the Side (1995),tt0112571
Dying Young (1991),tt0101787
Simply Irresistible (1999),tt0145893
20 Dates (1998),tt0138987
Mr. & Mrs. Smith (1941),tt0033922
Cat Ballou (1965),tt0059017
"Couch in New York, A (1996)",
Smoke Signals (1998),tt0120321
Ready to Wear (Pret-A-Porter) (1994),
Mother (1996),tt0117091
Little City (1998),
"Month by the Lake, A (1995)",tt0113849
Crimes of the Heart (1986),tt0090886
"American in Paris, An (1951)",
Dance with Me (1998),tt0120576
Passion of Mind (1999),
"Apartment, The (1960)",tt0053604
Feeling Minnesota (1996),tt0116289
Peter's Friends (1992),tt0105130
Pollyanna (1960),tt0054195
"Muse, The (1999)",tt0164108
That Darn Cat! (1965),tt0059793
"Beautician and the Beast, The (1997)",tt0118691
She's So Lovely (1997),tt0120112
"Flintstones, The (1994)",tt0109813
Carrington (1995),tt0112637
Nina Takes a Lover (1994),tt0110671
Only You (1994),tt0110737
I'll Be Home For Christmas (1998),
In Love and War (1996),tt0116621
Love in the Afternoon (1957),tt0050658
Queens Logic (1991),tt0102741
Violets Are Blue... (1986),tt0092173
Heartburn (1986),tt0091188
Irma la Douce (1963),tt0057187
"Paper, The (1994)",tt0110771
"Favor, The (1994)",tt0109783
"Theory of Flight, The (1998)",tt0120861
Celebrity (1998),tt0120533
"Smile Like Yours, A (1997)",tt0120151
Overnight Delivery (1996),
Love and Death (1975),tt0073312
Playing by Heart (1998),tt0145734
"House of the Spirits, The (1993)",tt0107151
When the Cats Away (Chacun cherche son chat) (1996),
Dog Park (1998),tt0129884
"Quiet Man, The (1952)",tt0045061
"Great Race, The (1965)",tt0059243
Made in America (1993),tt0107478
Jumpin' Jack Flash (1986),tt0091306
Hugo Pool (1997),tt0119327
Candleshoe (1977),tt0075807
Denise Calls Up (1995),tt0112844
Manhattan Murder Mystery (1993),tt0107507
Naked in New York (1994),
Unstrung Heroes (1995),tt0114798
Critical Care (1997),tt0118901
"Baby, The (1973)",tt0069754
"Slumber Party Massacre II, The (1987)",
"Big Squeeze, The (1996)",tt0115680
"Nightmare on Elm Street Part 2: Freddy's Revenge, A (1985)",tt0089686
American Strays (1996),tt0115531
"Nightmare on Elm Street 3: Dream Warriors, A (1987)",tt0093629
"Nightmare on Elm Street 4: The Dream Master, A (1988)",tt0095742
"Nightmare on Elm Street 5: The Dream Child, A (1989)",tt12737326
Freddy's Dead: The Final Nightmare (1991),tt0101917
Friday the 13th Part 2 (1981),tt0082418
Friday the 13th Part V: A New Beginning (1985),
Friday the 13th Part VI: Jason Lives (1986),tt0091080
Wes Craven's New Nightmare (1994),tt0111686
Friday the 13th Part VII: The New Blood (1988),tt0095179
Friday the 13th Part VIII: Jason Takes Manhattan (1989),tt0097388
Baraka (1992),tt0103767
Rollercoaster (1977),tt0076636
"Little Rascals, The (1994)",tt0110366
Herbie Goes Bananas (1980),tt0080861
"Wild Bunch, The (1969)",tt0065214
Air Bud: Golden Receiver (1998),tt0140796
Jingle All the Way (1996),tt0116705
Joe's Apartment (1996),tt0116707
Foxfire (1996),tt0116353
Chain Reaction (1996),tt0115857
Fathers' Day (1997),tt0119109
Absolute Power (1997),tt0118548
Pale Rider (1985),tt0089767
Leave It to Beaver (1997),tt0119509
Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),
Titanic (1953),tt0046435
Battle for the Planet of the Apes (1973),tt0069768
Conquest of the Planet of the Apes (1972),tt0068408
Michael Collins (1996),tt0117039
Last Man Standing (1996),tt0116830
Hard Rain (1998),tt0120696
Deep Rising (1998),tt0118956
"Goofy Movie, A (1995)",tt0113198
Hackers (1995),tt0113243
Mutiny on the Bounty (1935),tt0026752
Everest (1998),tt0120661
Dinosaur (2000),tt0130623
From Here to Eternity (1953),tt0045793
Empire Records (1995),tt0112950
"Walking Dead, The (1995)",tt0114888
Cutthroat Island (1995),tt0112760
Ace Ventura: When Nature Calls (1995),tt0112281
"Love Bug, The (1969)",
Herbie Rides Again (1974),tt0071607
"Road to El Dorado, The (2000)",tt0138749
"Astronaut's Wife, The (1999)",tt0138304
Addams Family Values (1993),tt0106220
Backbeat (1993),
"Beverly Hillbillies, The (1993)",tt0106400
Blown Away (1994),tt0109303
Murder in the First (1995),tt0113870
I Love Trouble (1994),tt0110093
Yellow Submarine (1968),tt0063823
Radioland Murders (1994),tt0110939
"Ref, The (1994)",tt0110955
Renaissance Man (1994),tt0110971
Richie Rich (1994),
"Big Green, The (1995)",tt0112499
"River Wild, The (1994)",tt0110997
For Love or Money (1993),tt0106941
"Shadow, The (1994)",tt0111143
Shadowlands (1993),tt0108101
"Apple Dumpling Gang Rides Again, The (1979)",tt0078790
"Omega Code, The (1999)",tt0203408
Life with Mikey (1993),tt0107413
Voyage to the Bottom of the Sea (1961),tt0055608
Clockers (1995),tt0112688
Get on the Bus (1996),tt0116404
Nick of Time (1995),tt0113972
"Replacements, The (2000)",tt0191397
Black and White (1999),tt0149898
Shanghai Surprise (1986),tt0091934
Loser (2000),tt0217630
Assassins (1995),tt0112401
Polish Wedding (1998),tt0119910
"Body Snatcher, The (1945)",tt0037549
Jawbreaker (1999),tt0155776
Road Trip (2000),tt0215129
Gossip (2000),tt0176783
Bulletproof (1996),tt0115783
Vampire in Brooklyn (1995),tt0114825
Enchanted April (1991),tt0101811
"Wedding Gift, The (1994)",
"Visitors, The (Les Visiteurs) (1993)",
Needful Things (1993),tt0107665
Mediterraneo (1991),tt0102426
Princess Caraboo (1994),tt0110892
Tie Me Up! Tie Me Down! (1990),
Cemetery Man (Dellamorte Dellamore) (1994),
Candyman (1992),tt0103919
"Portrait of a Lady, The (1996)",tt0117364
Albino Alligator (1996),tt0115495
Raise the Red Lantern (1991),
Cube (1997),tt0123755
"NeverEnding Story II: The Next Chapter, The (1990)",tt0100240
Your Friends and Neighbors (1998),tt0119517
Some Kind of Wonderful (1987),tt0094006
Ridicule (1996),tt0117477
I Shot Andy Warhol (1996),tt0116594
Bride of Chucky (1998),tt0144120
Ripe (1996),tt0117482
Vampires (1998),tt0120877
We're No Angels (1989),tt0098625
Women on the Verge of a Nervous Breakdown (1988),
187 (1997),
My Own Private Idaho (1991),tt0102494
Liberty Heights (1999),tt0165859
Mona Lisa (1986),tt0091538
Wishmaster (1997),tt0120524
U Turn (1997),tt0120399
Crash (1996),tt0115964
"Thin Man, The (1934)",tt0025878
City Lights (1931),tt0021749
Chushingura (1962),
Mother Night (1996),tt0117093
Christine (1983),tt0085333
City Hall (1996),tt0115907
Angela's Ashes (1999),tt0145653
"House of Yes, The (1997)",tt0119324
What Planet Are You From? (2000),tt0181151
"Postman, The (1997)",tt0119925
Idle Hands (1999),tt0138510
"NeverEnding Story III, The (1994)",
Birdy (1984),tt0086969
Two Girls and a Guy (1997),tt0124179
"Beach, The (2000)",tt0163978
Red Corner (1997),tt0119994
"Awfully Big Adventure, An (1995)",
Cool as Ice (1991),tt0101615
"Replacement Killers, The (1998)",tt0120008
Picnic at Hanging Rock (1975),tt0073540
"Borrowers, The (1997)",tt0118755
Three Colors: Blue (1993),
"Red Firecracker, Green Firecracker (1994)",
Farinelli: il castrato (1994),
Lord of Illusions (1995),tt0113690
King Creole (1958),tt0051818
Solar Crisis (1993),
Junk Mail (1997),
Date with an Angel (1987),tt0092834
Swimming with Sharks (1995),tt14013370
To Live (Huozhe) (1994),
Nadja (1994),tt0110620
Kiss of Death (1995),tt0113552
"Prophecy, The (1995)",tt0114194
"Bamba, La (1987)",
Safe (1995),tt0114323
Showgirls (1995),tt0114436
Four Rooms (1995),tt0113101
Little Odessa (1994),tt0110365
"Myth of Fingerprints, The (1997)",tt0119746
"Hunger, The (1983)",tt0085701
Radio Days (1987),tt0093818
In the Heat of the Night (1967),tt0061811
Jennifer 8 (1992),
Double Happiness (1994),tt0109655
Another Stakeout (1993),tt0106292
Copycat (1995),tt0112722
Boxing Helena (1993),tt0106471
Nobody's Fool (1994),tt0110684
Higher Learning (1995),tt0113305
Time Code (2000),
Color of Night (1994),tt0109456
Once Were Warriors (1994),tt0110729
Little Buddha (1993),tt0107426
Saturn 3 (1979),
"Tingler, The (1959)",tt0053363
Cat's Eye (1985),tt0088889
Robocop 3 (1993),
Fearless (1993),tt0106881
Georgia (1995),tt0113158
Trees Lounge (1996),tt0117958
"American Werewolf in Paris, An (1997)",
Romper Stomper (1992),tt0105275
Wolf (1994),tt0111742
Fresh (1994),tt0109842
Jesus' Son (1999),tt0186253
Wings of Desire (Der Himmel über Berlin) (1987),
Someone to Watch Over Me (1987),tt0094008
Hellraiser: Bloodline (1996),tt0116514
"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",
F/X 2 (1992),
Killing Zoe (1994),
Hellbound: Hellraiser II (1988),tt0095294
Hellraiser III: Hell on Earth (1992),tt0104409
"Paris, Texas (1984)",tt0087884
"Cat from Outer Space, The (1978)",tt0077305
Killer (Bulletproof Heart) (1994),
Grand Canyon (1991),tt0101969
"Outsiders, The (1983)",tt0086066
"Cook the Thief His Wife & Her Lover, The (1989)",
How I Won the War (1967),tt0061789
"Star Is Born, A (1937)",tt0029606
And Now for Something Completely Different (1971),tt0066765
Benji (1974),tt0071206
Haunted Honeymoon (1986),tt0091178
Chuck & Buck (2000),tt0200530
"In Crowd, The (2000)",tt0163676
"Mighty, The (1998)",tt0119670
Thomas and the Magic Railroad (2000),tt0205461
"Toxic Avenger, Part II, The (1989)",
Raging Bull (1980),tt0081398
"Incredible Journey, The (1963)",tt0057180
Piranha (1978),tt0078087
True Crime (1995),tt0114736
"Trouble with Harry, The (1955)",tt0048750
Godzilla (Gojira) (1984),
King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),
Ghost Dog: The Way of the Samurai (1999),tt0165798
My Science Project (1985),tt0089652
Species II (1998),tt0120841
Otello (1986),tt0091699
Puppet Master 4 (1993),tt0107899
Puppet Master 5: The Final Chapter (1994),
"Secret Adventures of Tom Thumb, The (1993)",tt0108069
"Happy, Texas (1999)",tt0162360
Return of the Fly (1959),tt0053219
Santa with Muscles (1996),tt0117550
"Clan of the Cave Bear, The (1986)",tt0090848
Grateful Dead (1995),tt0113212
Five Easy Pieces (1970),tt0065724
"Grand Illusion (Grande illusion, La) (1937)",
Woman in the Dunes (Suna no onna) (1964),
"Bicycle Thief, The (Ladri di biciclette) (1948)",
Of Human Bondage (1934),tt0025586
"Blue Angel, The (Blaue Engel, Der) (1930)",
Snow Falling on Cedars (1999),tt0120834
Love Is a Many-Splendored Thing (1955),tt0048316
"Raisin in the Sun, A (1961)",tt0055353
"Secret of Roan Inish, The (1994)",tt0111112
How Green Was My Valley (1941),tt0033729
Cabaret (1972),tt0068327
"Run Silent, Run Deep (1958)",tt0052151
Oliver! (1968),tt0063385
Blow-Out (La Grande Bouffe) (1973),
Two Women (La Ciociara) (1961),
Breaker Morant (1980),tt1916938
"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)",
"Official Story, The (La Historia Oficial) (1985)",
Shall We Dance? (1937),
Bread and Chocolate (Pane e cioccolata) (1973),
Dancer in the Dark (2000),tt0168629
Braindead (1992),tt0103873
Before and After (1996),tt0115645
Mr. Magoo (1997),tt0119718
Cookie's Fortune (1999),tt0126250
Bring It On (2000),tt0204946
Eye of the Beholder (1999),tt0120662
Reindeer Games (2000),tt0184858
Supernova (2000),tt0134983
Ready to Rumble (2000),tt0217756
"Flintstones in Viva Rock Vegas, The (2000)",tt0158622
Boys and Girls (2000),tt0204175
Urban Legends: Final Cut (2000),tt0192731
"Kid, The (2000)",tt0219854
"Pawnbroker, The (1965)",
Atlantic City (1980),tt0080388
Ghosts of Mississippi (1996),tt0116410
American Buffalo (1996),tt0115530
"Trip to Bountiful, The (1985)",tt0090203
Faithful (1996),tt0116269
"Man Who Knew Too Much, The (1934)",tt0025452
Coma (1978),tt0077355
Kidnapped (1960),tt1378436
Stanley & Iris (1990),tt0100680
"River, The (1984)",tt0088007
Metro (1997),tt0119664
"Preacher's Wife, The (1996)",tt0117372
"Crucible, The (1996)",tt0115988
Family Plot (1976),tt0074512
"Spitfire Grill, The (1996)",tt0117718
Prisoner of the Mountains (Kavkazsky Plennik) (1996),
"Fan, The (1996)",tt0116277
Foreign Correspondent (1940),tt0032484
Dancing at Lughnasa (1998),tt0120643
Love Jones (1997),tt0119572
"MatchMaker, The (1997)",tt0119632
Penny Serenade (1941),tt0034012
Hurlyburly (1998),tt0119336
Stardust Memories (1980),tt0081554
Angel on My Shoulder (1946),tt0038300
Wonder Boys (2000),tt0185014
Algiers (1938),tt0029855
"Horse Whisperer, The (1998)",tt0119314
Running Scared (1986),tt0091875
Splendor in the Grass (1961),tt0055471
Tough Guys (1986),tt0092105
Jade (1995),tt0113451
Death Wish (1974),tt0071402
Disclosure (1994),tt0109635
"End of Violence, The (1997)",tt0119062
"Postman Always Rings Twice, The (1981)",tt0082934
Lolita (1962),tt0056193
G. I. Blues (1960),
You Can't Take It With You (1938),
"Lost Weekend, The (1945)",tt0037884
Jefferson in Paris (1995),tt0113463
Moonlight and Valentino (1995),tt0113851
Things Change (1988),tt0096259
Three Days of the Condor (1975),tt0073802
Hamlet (1964),tt0058175
Light of Day (1987),tt0093415
Being Human (1993),
My Family (1995),tt0113896
Cops and Robbersons (1994),tt0109480
Coming Home (1978),tt0077362
Shaft (1971),tt0067741
Looking for Richard (1996),tt0116913
"Sugarland Express, The (1974)",tt0072226
Niagara (1953),tt0046126
Flesh and Bone (1993),tt0106926
Gilda (1946),tt0038559
Once Upon a Time in the West (1969),
"Crossing Guard, The (1995)",tt0112744
"Juror, The (1996)",tt0116731
Antonia's Line (Antonia) (1995),
"Candidate, The (1972)",tt0068334
Air America (1990),tt0099005
"Tin Drum, The (Blechtrommel, Die) (1979)",
Carried Away (1996),tt0115837
"Christmas Carol, A (1938)",tt0029992
"Bank Dick, The (1940)",tt0032234
Diabolique (1996),tt0116095
American Movie (1999),tt0181288
Flawless (1999),tt0155711
8MM (1999),tt0134273
Home Alone 3 (1997),tt0119303
"Doom Generation, The (1995)",tt0112887
SLC Punk! (1998),tt0133189
"Thirteenth Floor, The (1999)",tt0139809
Desert Blue (1999),
Evita (1996),tt0116250
"Mating Habits of the Earthbound Human, The (1998)",
Sudden Death (1995),tt0114576
"Pelican Brief, The (1993)",tt0107798
Madeline (1998),tt0123987
Sgt. Bilko (1996),tt0117608
Meet John Doe (1941),tt0033891
"Best Years of Our Lives, The (1946)",tt0036868
Reds (1981),tt0082979
'Night Mother (1986),
"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)",tt0068528
"Broadway Melody, The (1929)",tt0019729
"Ideal Husband, An (1999)",
Down in the Delta (1998),tt0142231
Affliction (1997),tt0118564
Henry Fool (1997),tt0122529
"Cry, the Beloved Country (1995)",tt0112749
"House on Haunted Hill, The (1999)",
Restoration (1995),tt0114272
Body Shots (1999),tt0172627
Passion Fish (1992),tt0105107
Agnes Browne (1999),tt0160509
Tom and Huck (1995),tt0112302
Solo (1996),tt0117688
Wrongfully Accused (1998),tt0120901
Knock Off (1998),tt0120724
Virus (1999),tt0120458
Maximum Risk (1996),tt0117011
Black Mask (Hak hap) (1996),
Bloodsport (1988),tt0092675
Hideaway (1995),tt0113303
Mr. Nice Guy (1997),
"Glimmer Man, The (1996)",tt0116421
Operation Condor (Feiying gaiwak) (1990),
Hard Target (1993),tt0107076
Missing in Action 2: The Beginning (1985),tt0089604
Braddock: Missing in Action III (1988),tt0094792
"Quest, The (1996)",tt0117420
Kansas City (1996),tt0116745
Central Station (Central do Brasil) (1998),
Andre (1994),tt0109120
Harriet the Spy (1996),tt0116493
"Return of Jafar, The (1993)",
Pokémon: The First Movie (1998),
That Darn Cat! (1997),
Buddy (1997),tt0118787
"Rugrats Movie, The (1998)",tt0134067
Cats Don't Dance (1997),tt0118829
Bogus (1996),tt0115725
Turbo: A Power Rangers Movie (1997),tt0120389
Wild America (1997),tt0120512
We're Back! A Dinosaur's Story (1993),tt0108526
Air Bud (1997),tt0118570
"King and I, The (1999)",tt0160429
"Amazing Panda Adventure, The (1995)",tt0112342
Far From Home: The Adventures of Yellow Dog (1995),
Free Willy 2: The Adventure Home (1995),tt0113114
Mighty Morphin Power Rangers: The Movie (1995),tt0113820
"Next Karate Kid, The (1994)",tt0110657
"Jungle Book, The (1994)",tt0110213
Dunston Checks In (1996),tt0116151
Gulliver's Travels (1939),tt0031397
"Pagemaster, The (1994)",tt0110763
Angus (1995),tt0112368
Blank Check (1994),tt0109287
All Dogs Go to Heaven 2 (1996),tt0115509
Theodore Rex (1995),tt0114658
Oliver & Company (1988),tt0095776
Flipper (1996),tt0116322
Get Carter (2000),tt0208988
Bait (2000),tt0211938
Action Jackson (1988),tt0094612
"Simple Twist of Fate, A (1994)",tt0111194
Croupier (1998),tt0159382
Brokedown Palace (1999),tt0120620
Jean de Florette (1986),tt0091288
Different for Girls (1996),tt0116102
God Said 'Ha!' (1998),
Blue in the Face (1995),tt0112541
On the Town (1949),tt0041716
"Friend of the Deceased, A (1997)",
Barcelona (1994),tt0109219
"Three Caballeros, The (1945)",
Pushing Hands (1992),
Kicking and Screaming (1995),tt0113537
Last Summer in the Hamptons (1995),tt0113612
All That Jazz (1979),tt0078754
Bhaji on the Beach (1993),tt0106408
Lulu on the Bridge (1998),tt0125879
"Rapture, The (1991)",tt0102757
Paths of Glory (1957),tt0050825
M (1931),
McCabe & Mrs. Miller (1971),tt0067411
Drunken Master (Zui quan) (1979),
Friday (1995),tt0113118
House on Haunted Hill (1958),
For Love of the Game (1999),tt0126916
"Mark of Zorro, The (1940)",tt0032762
Drowning Mona (2000),tt0186045
Hanging Up (2000),tt0162983
Coyote Ugly (2000),tt0200550
"Broken Hearts Club, The (2000)",
"Eyes of Tammy Faye, The (2000)",tt0233687
Gold Diggers: The Secret of Bear Mountain (1995),tt0113188
Tumbleweeds (1999),tt0161023
Dear Diary (Caro Diario) (1994),
"Chambermaid on the Titanic, The (1998)",
Diebinnen (1995),
"Pope of Greenwich Village, The (1984)",tt0087932
"Taking of Pelham One Two Three, The (1974)",tt0072251
"Cowboy Way, The (1994)",tt0109493
Palookaville (1996),
Faster Pussycat! Kill! Kill! (1965),
Brief Encounter (1946),
BASEketball (1998),tt0131857
"Cement Garden, The (1993)",tt0106535
Why Do Fools Fall In Love? (1998),
"Two Jakes, The (1990)",tt0100828
Urban Legend (1998),tt0146336
Infinity (1996),tt0116635
Twin Dragons (Shuang long hui) (1992),
Dracula: Dead and Loving It (1995),tt0112896
"Perez Family, The (1995)",tt0114113
Red Rock West (1992),
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),tt0116126
Operation Condor 2 (Longxiong hudi) (1990),
What's Love Got to Do with It? (1993),tt0711413
Fandango (1985),tt0089126
Local Hero (1983),tt0085859
Kazaam (1996),tt0116756
"Watcher, The (2000)",tt0204626
Newsies (1992),tt0104990
Dead Man on Campus (1998),tt0118301
Excess Baggage (1997),tt0119086
Down to You (2000),tt0186975
Free Willy 3: The Rescue (1997),tt0119152
Star Kid (1997),tt0120478
Doug's 1st Movie (1999),tt0187819
Me Myself I (2000),
"Wood, The (1999)",tt0161100
Here on Earth (2000),tt0195778
Whatever It Takes (2000),tt0202402
Quest for Camelot (1998),tt0120800
Thumbelina (1994),tt0111419
Autumn in New York (2000),tt0174480
Steamboat Willie (1940),
Melody Time (1948),tt0040580
Three to Tango (1999),tt0144640
"Great Mouse Detective, The (1986)",tt0091149
Bloodsport 2 (1995),
Steel (1997),tt0120207
Heartbreak Ridge (1986),tt0091187
Under Siege 2: Dark Territory (1995),tt0114781
Mortal Kombat: Annihilation (1997),tt0119707
Iron Eagle IV (1995),tt0113438
"Killer Shrews, The (1959)",tt0052969
Nosferatu a Venezia (1986),
Phantasm II (1988),tt0095863
Brassed Off (1996),tt0115744
Shadow of a Doubt (1943),tt0036342
Our Town (1940),tt0032881
Saboteur (1942),tt0035279
Sabotage (1936),tt0028212
Paradise Road (1997),tt0119859
Ninotchka (1939),tt0031725
Lost Horizon (1937),tt0029162
Career Girls (1997),tt0118818
Grand Hotel (1932),tt0022958
Mrs. Miniver (1942),tt0035093
Gentleman's Agreement (1947),tt0039416
Rain (1932),tt0023369
"Big Carnival, The (1951)",
"Palm Beach Story, The (1942)",tt0035169
Homegrown (1998),tt0119305
Man Facing Southeast (Hombre Mirando al Sudeste) (1986),
